value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14
-0.0061312694216250525,0.0054838770995459555,-0.004232515521156493,0.0014049967098874886,-0.002519110690127547,-0.005743939502336887,0.024172959202568182,-0.020142876116919138,-0.010434942885367884,0.002650556327145758,0.003446956491080676,-0.00682410342255355,0.03140766745366954,-0.012161649968056564
-0.0011622990363483524,0.0006890099886506922,-0.0047443249075446265,0.0035088509622652996,-0.004057302141949001,0.0029802620632251144,0.009661113848570168,0.012031322715616554,-0.010679542159113414,0.0032659112984839513,-0.0017892254837144968,0.002190683950368085,0.010210905067082485,0.009127710557931398
0.009153166041534188,0.0018393439977035695,0.007056117344317306,-0.00930018872291615,-0.01002840700499029,0.01288080154703765,0.014571680222874247,-0.0052316803924634505,0.01958490663105636,0.027353058182541825,0.013194668230279817,0.03512355581869138,0.017826451301268604,0.003301756827690609
0.0038621952395746103,0.005849759489267369,0.0006618535286757793,0.024370828892948188,0.018131233284321164,0.005785446408027426,0.0009059131196642694,0.02203050366730239,-0.0010188888708288007,0.009613230257616573,0.006267629500396767,0.012914913888900677,0.032304101924581816,0.004302083568218445
-0.002391829000135348,0.006056787715779788,0.050903935358270064,0.007289164264909321,-0.012377860759228735,0.009202626361615854,0.038858823923139336,0.02039817065757886,0.012558055017770896,0.005537821031999309,0.0017594172093377152,0.03636219098821289,0.009176720152807842,-0.00030799257596665885
0.014898671291708234,0.001893678521052396,0.018829903555715205,0.01337423869251484,0.0057573253939875385,0.0002458091538697553,0.0160493695859146,0.022784486846432316,0.0162135694040122,0.01630820100445714,0.017326285784699535,0.019243481247640318,0.007756073123338778,0.0062186134402771685
0.006867096999005209,0.0068805356484504905,0.02233692991421032,0.006574683548915938,0.04551933737211872,0.018419153560247564,0.01778136629373492,0.02681393961786668,0.022019261660473174,0.006480801495806507,0.0028849973617730536,0.01175284087150774,0.021091679915891937,0.0009950299571319806
0.019110256589958977,0.01998237213281718,0.007130248341351916,0.024597405753602145,0.04979859354940359,0.016148577102725988,0.005504652362499436,0.03371999561780403,0.009593355822847685,0.01807786201879969,0.02069171391659907,0.031838484782941365,0.024231868692836216,0.01287046439824065
0.01980331042212608,0.015234309457380248,0.037765700259013706,0.034655263641273346,0.02284087177326665,0.011852143304225179,0.043806749340516996,0.036876738426087644,0.010284889717724207,0.018679650221989492,0.013564783410738794,0.017945540060994313,0.03480053768544731,0.010947519688509494
0.018248753517595653,0.021904791334785026,0.035231698324875015,0.04715935797781018,0.03623836054727,0.013349507692988176,0.03153502346443229,0.03964141921085317,0.0398079792052587,0.025824240764414818,0.00667146911500045,0.04648505658467305,0.028442359168214148,0.012881275694969404
0.020814778298629,0.025076978550014783,0.06250487733216362,0.02035736775769276,0.05092762590010424,0.037641152591355656,0.023173725867076042,0.036827515834543974,0.051560645435497106,0.025689120094929026,0.020028978267072048,0.025354558396529385,0.026565783283765156,0.03935866265062191
0.009668757577874344,0.02555615471238766,0.07697600771524535,0.024553986787080814,0.020013982676980933,0.007558584911526501,0.06261876827567289,0.05816808327295854,0.04068166011868429,0.020308483276418657,0.017467379035909274,0.028989591072744444,0.04323138500777566,0.023770215621244525
0.0316350394684129,0.019906364227871374,0.07092274768574093,0.042957146868447336,0.06736354539310564,0.037943332798126825,0.07039638579400812,0.05532879759564427,0.06783245119936368,0.039327535805719294,0.028320778034265314,0.021787059171766952,0.04639358988990874,0.021209062721447226
0.02645666410681002,0.025795810495559086,0.10529496589125274,0.06360220369937813,0.08600220810374808,0.029539622481255173,0.0514840760560038,0.06764967507942558,0.049546644108542065,0.028627901955686333,0.022689709674276335,0.03850441382210064,0.05126159361591255,0.028990360790526873
0.0332831962648472,0.034259343735097494,0.07597174923670716,0.041508232883185135,0.06759261502385686,0.029571145455070502,0.04426944608944336,0.05609464134320607,0.04521797497738611,0.0412325136277096,0.02834652199449808,0.035256132331665795,0.0430269487259368,0.036666605966398834
0.03528844375156307,0.03107197743728172,0.07948920208865552,0.05333002862638994,0.07809532838466017,0.03822742946657618,0.07173888265309464,0.059011269922964515,0.07240462246601354,0.03163078963430028,0.025450702729485176,0.04861406781475312,0.05924698603517172,0.03299352965210683
0.028090289066511342,0.025767529243563,0.056505123468155984,0.046958633940730375,0.07554384699127423,0.03310216456405416,0.061715678481153606,0.08744078118844542,0.08411177099584283,0.0388239384960292,0.03301275268637738,0.0460954225983082,0.03663269599056726,0.04999788047088614
0.0377887298762144,0.034467337351082414,0.08992635000821646,0.05812819409667164,0.10318963751998063,0.04095168467799224,0.10128640904663475,0.08309233847724393,0.07419778559189519,0.04408475278967241,0.03133536590540032,0.05207680323397179,0.05869025953302078,0.04640502289119742
0.0395641113776157,0.025399949184186078,0.09616458668144198,0.06627167733502234,0.08073215689680287,0.04203972244279706,0.04334134406900069,0.061726018058946924,0.06451732086138069,0.04220855285852683,0.048046106442402536,0.048397977632368444,0.06358005715860071,0.04015865966087202
0.04084938505473626,0.03055575094544304,0.11992081509599703,0.06192039964815566,0.11018297974872109,0.04677980499285933,0.06799717791840633,0.11724707925521999,0.07784106664351921,0.05107927947641129,0.03162025796102114,0.05910659934848782,0.053988992122726495,0.048644349213763455
0.043015497798735876,0.032296911199781585,0.12165921853063474,0.07243671741561353,0.08188623119228042,0.035262177673456865,0.07350023627550285,0.09024477872351408,0.08599199892048001,0.05981975372773449,0.032710477247841305,0.06029386804428327,0.07200682049566584,0.04614538042417074
0.04721555557748928,0.04030948121688284,0.113946671961323,0.07437469694140209,0.07598781229475214,0.05063779017489419,0.11264723185413215,0.07598047295283872,0.10015057215537522,0.07436211036556367,0.04103775159740862,0.05858936078773011,0.08230386974281845,0.043636302451239846
